nombre_central,tipo_tecnologia,potencia_instalada_mw,provincia
EÓLICO VILLALONGA II GENNEIA (MATER),Eolica,3.45,BUENOS AIRES
PS. Iglesia Guañizuil,Fotovoltaica,80,SAN JUAN
Parque eolico ALUAR I (MATER),Eolica,68.4,CHUBUT
PAH L.D.CUYO EN,Hidroelectrica (Menor a 50 Mw),1,MENDOZA
PAH LUJANITA EN,Hidroelectrica (Menor a 50 Mw),1.7,MENDOZA
P.E. Bicentenario,Eolica,100.8,SANTA CRUZ
Parque Eólico del Bicentenario II (MATER),Eolica,25.2,SANTA CRUZ
P.S. La Cumbre II,Fotovoltaica,4,SAN LUIS
P.S. Pasip,Fotovoltaica,1.15,MENDOZA
S. de la Punta,Fotovoltaica,5,SAN LUIS
C.T. AVELLANEDA. SANTA FE,Biogas,6.3,SANTA FE
Parque de los Llanos (MATER),Fotovoltaica,20,LA RIOJA
C.T. ENSENADA. BRS,Biogas,5.3,BUENOS AIRES
P.E. Pomona I,Eolica,101.4,RIO NEGRO
Parque Eólico POMONA II (MATER),Eolica,11.7,RIO NEGRO
P.S. Ullum 4,Fotovoltaica,13.5,SAN JUAN
P.S. ULLUM 4 (AMPLIACION MATER),Fotovoltaica,7,SAN JUAN
P.E. Pampa Energía III,Eolica,50.4,BUENOS AIRES
Parque Eólico Pampa Energía (MATER),Eolica,50.4,BUENOS AIRES
P.S. Cafayate,Fotovoltaica,80,SALTA
AGUA DEL CAJON,Termica,184.4,NEUQUEN
MAR DEL PLATA 2,Termica,94.74,BUENOS AIRES
M. JUAREZ EPEC,Termica,5.14,CORDOBA
CATAMARC DELIV,Termica,19.2,CATAMARCA
NIDERA JUNIN,Biomasa,,BUENOS AIRES
RÍO TERC SOENER,Termica,60,CORDOBA
INDEP 2 ETAP 1,Termica,49.6,TUCUMAN
INDEP 2 ETAP 2,Termica,49,TUCUMAN
Loma Campana 2,Termica,107,NEUQUEN
ELECTROPAT.,Termica,21,CHUBUT
ELECTROPAT.,Termica,42,CHUBUT
P.ROCA CHACO,Termica,6,CHACO
Parque Eólico La Castellana II (MATER),Eolica,15.2,BUENOS AIRES
P.E. DIADEMA II,Eolica,27.6,CHUBUT
Parque eólico Autogeneración ALUAR,Eolica,93.6,CHUBUT
Parque Eólico Vientos La Genoveva II (MATER),Eolica,41.8,BUENOS AIRES
P.E. ARAUCO II (ETAPA 1 Y 2),Eolica,99.75,LA RIOJA
P.E. ENERGETICA I fase 2 (MATER),Eolica,19.95,BUENOS AIRES
C.T. COGENERACIÓN INGENIO LEALES,Biomasa,2,TUCUMAN
C.T. CITRUSVIL,Biogas,3,TUCUMAN
Cerros del Sol,Fotovoltaica,5,SAN LUIS
Planta fotovoltaica Solar de los Andes (MATER),Fotovoltaica,5,MENDOZA
Parque eólico Manque,Eolica,57,CORDOBA
Parque eólico San Jorge y El Mataco,Eolica,203.4,BUENOS AIRES
C.At.Necochea I,Eolica,37.95,BUENOS AIRES
C.T. PERGAMINO,Biogas,2.4,BUENOS AIRES
PE La Banderita,Eolica,39.6,LA PAMPA
C.T. LAS JUNTURAS,Biomasa,0.6,CORDOBA
C.T. GIGENA I,Biogas,1.2,CORDOBA
C.T. BIO JUSTO DARACT,Biogas,1,SAN LUIS
H Tib. Benegas,Hidroelectrica (Menor a 50 Mw),1.7,MENDOZA
Proyecto Solar Los Diaguitas (MATER),Fotovoltaica,1.8,SAN JUAN
Parque eólico Los Olivos,Eolica,22.8,CORDOBA
P.E. ENERGETICA I,Eolica,79.8,BUENOS AIRES
PE GARCÍA DEL RÍO,Eolica,10,BUENOS AIRES
P.A.H. LUNLUNTA,Hidroelectrica (Menor a 50 Mw),6.34,MENDOZA
BM Santa Rosa,Biomasa,15,CORRIENTES
P.S. ANCHIPURAC,Fotovoltaica,3,SAN JUAN
C.T. VILLA DEL ROSARIO,Biogas,1,CORDOBA
P.E. VIENTOS NEUQUINOS I,Eolica,100485,NEUQUEN
P.E. LA GENOVEVA,Eolica,88.2,BUENOS AIRES
P.E. CHUBUT NORTE IV,Eolica,83.22,CHUBUT
